track,index,heading change,heading change per sec,altitude (ft),speed (kts),speed (mph),alt/speed ratio,vert rate/speed ratio,vert rate per sec
3,13741,0,0.0,36025.0,433.0,498.0,72.33935742971887,0.04819277108433735,0.8
3,13747,0,0.0,36025.0,435.0,501.0,71.9061876247505,0.04790419161676647,-0.75
3,13753,0,0.0,36000.0,436.0,502.0,71.71314741035856,0.0,0.0
3,13758,2,0.06666666666666667,36025.0,440.0,506.0,71.19565217391305,0.04940711462450593,0.8333333333333334
3,13764,1,0.03333333333333333,36025.0,444.0,511.0,70.49902152641879,0.04892367906066536,-0.8333333333333334
3,13769,0,0.0,36000.0,444.0,511.0,70.45009784735812,0.0,0.0
3,13774,0,0.0,36025.0,443.0,510.0,70.63725490196079,0.049019607843137254,0.8333333333333334
3,13779,2,0.06666666666666667,36025.0,441.0,507.0,71.05522682445759,0.0,0.0
3,13786,0,0.0,36025.0,440.0,506.0,71.19565217391305,0.04940711462450593,-0.8333333333333334
3,13790,0,0.0,36000.0,441.0,507.0,71.00591715976331,0.0,0.0
3,13795,0,0.0,36025.0,442.0,509.0,70.77603143418467,0.0,0.0
3,13799,5,0.23809523809523808,36000.0,452.0,520.0,69.23076923076923,0.07884615384615384,-1.9523809523809523
3,13802,8,0.5,36000.0,467.0,537.0,67.0391061452514,0.08379888268156424,2.8125
3,13807,7,0.4117647058823529,36025.0,481.0,554.0,65.02707581227436,0.05776173285198556,1.8823529411764706
3,13812,0,0.0,36025.0,482.0,555.0,64.90990990990991,0.0,0.0
3,13818,0,0.0,36025.0,482.0,555.0,64.90990990990991,0.0,0.0
3,13823,2,0.06451612903225806,36025.0,484.0,557.0,64.67684021543985,0.04308797127468582,-0.7741935483870968
3,13829,9,0.28125,36000.0,502.0,578.0,62.28373702422145,0.0,0.0
3,13835,10,0.3333333333333333,36025.0,520.0,598.0,60.24247491638796,0.04180602006688963,0.8333333333333334
3,13840,2,0.06666666666666667,36025.0,522.0,601.0,59.94176372712146,0.0,0.0
3,13845,0,0.0,36025.0,521.0,600.0,60.041666666666664,0.0,0.0
3,13851,0,0.0,36025.0,519.0,597.0,60.34338358458962,0.04187604690117253,-0.8333333333333334
3,13856,0,0.0,36000.0,518.0,596.0,60.40268456375839,0.04194630872483222,-0.8333333333333334
3,13861,0,0.0,36000.0,517.0,595.0,60.50420168067227,0.0,0.0
3,13866,0,0.0,36000.0,515.0,593.0,60.70826306913997,0.0,0.0
3,13871,0,0.0,36000.0,514.0,592.0,60.810810810810814,0.0,0.0
3,13877,0,0.0,36000.0,514.0,592.0,60.810810810810814,0.0,0.0
3,13883,0,0.0,36000.0,514.0,592.0,60.810810810810814,0.0,0.0
3,13887,0,0.0,36000.0,514.0,592.0,60.810810810810814,0.0,0.0
3,13891,0,0.0,36000.0,514.0,592.0,60.810810810810814,0.04222972972972973,0.8333333333333334
3,13895,0,0.0,36025.0,514.0,592.0,60.85304054054054,0.04222972972972973,0.8333333333333334
3,13900,0,0.0,36025.0,515.0,593.0,60.750421585160204,0.0,0.0
